5/10/2012	12:05:00	3
5/10/2012	12:20:00	3
5/10/2012	12:30:00	3
5/10/2012	12:55:00	3
5/10/2012	13:14:00	3
5/10/2012	14:05:00	3
5/10/2012	14:15:00	1
5/10/2012	14:50:00	3
5/10/2012	15:18:00	4
5/10/2012	15:19:00	3
5/10/2012	16:17:00	3
5/10/2012	16:18:00	4
5/10/2012	17:37:00	4
5/10/2012	17:39:00	3
5/10/2012	17:42:00	1
5/10/2012	18:05:00	1
5/10/2012	18:20:00	3
5/10/2012	18:37:00	3
5/10/2012	18:50:00	3
5/10/2012	18:52:00	4
5/10/2012	19:12:00	3
5/10/2012	19:37:00	3
5/10/2012	19:52:00	1
6/10/2012	13:59:00	3
6/10/2012	14:19:00	3
6/10/2012	14:56:00	4
6/10/2012	15:05:00	3
6/10/2012	15:18:00	3
6/10/2012	15:24:00	3
6/10/2012	15:38:00	1
6/10/2012	15:49:00	3
6/10/2012	16:13:00	3
6/10/2012	16:47:00	1
6/10/2012	16:54:00	3
6/10/2012	17:19:00	3
6/10/2012	18:10:00	3
6/10/2012	18:18:00	3
6/10/2012	18:50:00	3
6/10/2012	19:37:00	4
6/10/2012	19:48:00	3
6/10/2012	19:56:00	1
6/10/2012	20:00:00	1
7/10/2012	14:02:00	1
7/10/2012	14:28:00	3
7/10/2012	14:56:00	3
7/10/2012	15:19:00	3
7/10/2012	15:25:00	3
7/10/2012	19:05:00	4
10/10/2012	12:43:00	3
10/10/2012	13:02:00	1
10/10/2012	14:57:00	3
10/10/2012	16:02:00	4
10/10/2012	16:19:00	4
10/10/2012	17:41:00	4
10/10/2012	18:34:00	4
12/10/2012	12:05:00	3
12/10/2012	13:46:00	1
12/10/2012	14:43:00	3
12/10/2012	15:22:00	3
12/10/2012	15:32:00	3
12/10/2012	15:35:00	4
12/10/2012	15:57:00	4
12/10/2012	16:14:00	3
12/10/2012	16:21:00	1
12/10/2012	16:38:00	4
12/10/2012	16:58:00	4
12/10/2012	16:59:00	3
12/10/2012	17:00:00	3
12/10/2012	17:14:00	3
12/10/2012	17:57:00	3
13/10/2012	12:03:00	4
13/10/2012	12:16:00	3
13/10/2012	13:12:00	3
13/10/2012	13:16:00	1
13/10/2012	13:29:00	3
13/10/2012	13:56:00	3
13/10/2012	14:30:00	3
13/10/2012	14:52:00	3
13/10/2012	15:54:00	4
13/10/2012	17:30:00	3
13/10/2012	17:47:00	3
14/10/2012	12:01:00	3
